t,x,y,z,dx,dy,dz,dv_st
2.2638276884084175e+02,-9.9145749350787638e-01,3.3850207534092875e-03,6.3983077920402854e-04,1.3909613204821786e-03,6.2985530511943111e-03,-2.1938598416797721e-03,6.6137872636318196e-13
2.2944199544679907e+02,-9.9145431687470165e-01,3.3989123653583391e-03,6.4389389782518332e-04,1.4034232133901775e-03,6.2610228272512725e-03,-2.1927267318642566e-03,2.5066547095775605e-13
2.3250122205275639e+02,-9.9145126087912527e-01,3.4134586450695020e-03,6.4684715438464264e-04,1.4158614212991150e-03,6.2238775171913341e-03,-2.1878140617677738e-03,-4.3488107621669764e-13
2.3556044865871371e+02,-9.9144837613778691e-01,3.4284188458083521e-03,6.4863658584174183e-04,1.4280728361532147e-03,6.1877277513257001e-03,-2.1792136055298378e-03,7.7630393207073198e-13
2.3861967526467103e+02,-9.9144571009947402e-01,3.4435452040638250e-03,6.4923177507602214e-04,1.4398588325399597e-03,6.1531632722454654e-03,-2.1670905802580877e-03,2.9952730983495713e-12
2.4167890187062835e+02,-9.9144330585457696e-01,3.4585891133611349e-03,6.4862622102936703e-04,1.4510300263558115e-03,6.1207386398007824e-03,-2.1516791065648022e-03,6.3939951360225674e-13
2.4473812847658567e+02,-9.9144120109258116e-01,3.4733071695714837e-03,6.4683693195643252e-04,1.4614106702160842e-03,6.0909603201060314e-03,-2.1332755323370382e-03,1.4223624020814899e-12
2.4779735508254299e+02,-9.9143942724226475e-01,3.4874668205686996e-03,6.4390329662580002e-04,1.4708425401306706e-03,6.0642756884258242e-03,-2.1122299771160449e-03,1.1096242815256118e-12
2.5085658168850031e+02,-9.9143800884164179e-01,3.5008513962825625e-03,6.3988532659187798e-04,1.4791881180461933e-03,6.0410643335405689e-03,-2.0889365486131419e-03,3.3122487366199493e-13
2.5391580829445763e+02,-9.9143696314749652e-01,3.5132643482675800e-03,6.3486139278479288e-04,1.4863330109626239e-03,6.0216319022204923e-03,-2.0638227322275740e-03,1.4017801731824877e-12
2.5697503490041498e+02,-9.9143629998864247e-01,3.5245325858228021e-03,6.2892559731080771e-04,1.4921875513757401e-03,6.0062065445366519e-03,-2.0373384633431183e-03,1.0136049240827561e-12
2.6003426150637233e+02,-9.9143602185555146e-01,3.5345088635149501e-03,6.2218492597476639e-04,1.4966875713008378e-03,5.9949378700551170e-03,-2.0099453636071448e-03,1.1463183909654616e-12
2.6309348811232968e+02,-9.9143612419623972e-01,3.5430732319414017e-03,6.1475632160175612e-04,1.4997944220816683e-03,5.9878981933738640e-03,-1.9821065588132149e-03,1.6029458492994307e-12
2.6615271471828703e+02,-9.9143659588869026e-01,3.5501336143163010e-03,6.0676380283488371e-04,1.5014943097338045e-03,5.9850857423546788e-03,-1.9542774120040445e-03,1.7372425645589826e-12
2.6921194132424438e+02,-9.9143741984943579e-01,3.5556256116808928e-03,5.9833573155915849e-04,1.5017970632817674e-03,5.9864294439307963e-03,-1.9268974085347240e-03,1.9528437405824661e-12
2.7227116793020173e+02,-9.9143857373593547e-01,3.5595116638103921e-03,5.8960230718758944e-04,1.5007344635336946e-03,5.9917948732334247e-03,-1.9003833307549153e-03,1.4337245374917985e-12
