t,x,y,z,dx,dy,dz,dv_vel,dv_st
1.787836e+02,-9.911799e-01,-4.144529e-03,2.361100e-04,-2.159636e-03,3.719205e-03,1.993561e-03,9.375000e-09,-7.812500e-10
1.799522e+02,-9.909807e-01,4.392838e-03,6.576509e-05,2.565846e-03,2.179832e-03,-2.046976e-03,0.000000e+00,0.000000e+00
1.811207e+02,-9.891233e-01,-2.284488e-03,-9.972913e-04,-2.031091e-03,-7.787744e-03,9.166121e-04,0.000000e+00,0.000000e+00
1.822892e+02,-9.916551e-01,-9.440368e-04,8.729621e-04,-2.069269e-04,9.678317e-03,5.250630e-04,-2.734375e-09,-1.562500e-09
1.834577e+02,-9.896129e-01,3.576040e-03,-7.660990e-04,2.973770e-03,-5.521026e-03,-1.473048e-03,-2.250000e-07,-1.562500e-09
1.846262e+02,-9.904219e-01,-4.470911e-03,-3.223052e-04,-3.172765e-03,-1.349103e-03,1.955094e-03,8.203125e-09,-7.031250e-09
1.857948e+02,-9.914968e-01,3.113176e-03,5.879981e-04,1.151338e-03,6.943344e-03,-1.613186e-03,-3.906250e-10,-3.906250e-10
1.869633e+02,-9.888432e-01,9.605939e-05,-1.120783e-03,8.824410e-05,-9.031411e-03,-3.805172e-05,0.000000e+00,0.000000e+00
1.881318e+02,-9.914712e-01,-3.257410e-03,5.530280e-04,-1.258568e-03,6.617632e-03,1.674490e-03,-1.250000e-08,-3.906250e-09
1.893003e+02,-9.904889e-01,4.495526e-03,-2.804720e-04,3.133892e-03,-9.650050e-04,-1.978304e-03,-4.687500e-09,-2.343750e-09
1.904688e+02,-9.895504e-01,-3.455435e-03,-7.968479e-04,-2.900561e-03,-5.818253e-03,1.418141e-03,7.812500e-10,-7.812500e-10
1.916374e+02,-9.916590e-01,7.370947e-04,8.829212e-04,1.572584e-04,9.777302e-03,-4.110652e-04,1.562500e-09,1.171875e-09
1.928059e+02,-9.891679e-01,2.448009e-03,-9.770750e-04,2.164461e-03,-7.586429e-03,-9.843569e-04,9.375000e-09,-1.562500e-09
1.939744e+02,-9.909252e-01,-4.435015e-03,2.218318e-05,-2.658134e-03,1.786045e-03,2.050734e-03,-1.562500e-09,7.812500e-10
1.951429e+02,-9.912246e-01,4.061358e-03,2.782642e-04,2.049251e-03,4.101079e-03,-1.969762e-03,-1.953125e-09,-1.953125e-09
1.963115e+02,-9.889473e-01,-1.419368e-03,-1.075554e-03,-1.288631e-03,-8.573039e-03,5.648530e-04,-3.125000e-09,1.562500e-09
1.974800e+02,-9.916181e-01,-1.925194e-03,7.893935e-04,-5.131997e-04,8.858170e-03,1.047607e-03,-8.593750e-09,-4.296875e-09
1.986485e+02,-9.899405e-01,4.074940e-03,-5.977025e-04,3.208654e-03,-3.913908e-03,-1.714504e-03,-1.250000e-08,-1.562500e-09
1.998170e+02,-9.900820e-01,-4.230775e-03,-5.206436e-04,-3.242507e-03,-3.189085e-03,1.798484e-03,5.468750e-09,-4.296875e-09
2.009855e+02,-9.915921e-01,2.303273e-03,7.392243e-04,6.763811e-04,8.373880e-03,-1.237562e-03,-1.953125e-09,-1.562500e-09
2.021541e+02,-9.888982e-01,1.038449e-03,-1.096989e-03,9.480977e-04,-8.789846e-03,-4.123615e-04,-6.250000e-09,1.562500e-09
2.033226e+02,-9.913094e-01,-3.864504e-03,3.633255e-04,-1.816446e-03,4.874057e-03,1.906775e-03,-8.125000e-08,-7.812500e-09
2.044911e+02,-9.908047e-01,4.495498e-03,-6.771095e-05,2.831305e-03,9.727012e-04,-2.046855e-03,3.125000e-09,2.343750e-09
2.056596e+02,-9.892685e-01,-2.770841e-03,-9.309204e-04,-2.418639e-03,-7.129171e-03,1.119814e-03,-2.343750e-09,1.562500e-09
2.068281e+02,-9.916637e-01,-3.051969e-04,8.956992e-04,-6.280203e-05,9.904711e-03,1.707905e-04,-7.812500e-09,-5.078125e-09
2.079967e+02,-9.894270e-01,3.187433e-03,-8.564498e-04,2.723453e-03,-6.397927e-03,-1.299062e-03,1.250000e-08,-7.812500e-10
2.091652e+02,-9.906242e-01,-4.520316e-03,-1.928390e-04,-3.029273e-03,-1.640869e-04,2.016506e-03,-1.562500e-09,1.171875e-09
